metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
MET_143,concept_rates_freddie_mac_national_monthly_observe,Freddie Mac national rate (concept monthly observe),rates,capital,national,monthly,pct,neutral,TRUE,vendor_stated,rates_current,TRANSFORM.DEV.CONCEPT_RATES_NATIONAL_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_012,freddie_mac_housing_timeseries_value,Freddie Mac housing timeseries (VALUE),cap_rate,capital,national,weekly,varies,neutral,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_FREDDIE_MAC_HOUSING_NATIONAL_WEEKLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
FREDDIE_MAC_MAN_501250A265,freddie_mac_freddie_mac_housing_timeseries_value,Freddie Mac Value,homeprice,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_FREDDIE_MAC_HOUSING_TIMESERIES,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
