metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
SEM_CANON_REALTOR_INVENTORY_CBSA_VALUE_OBSERVE,realtor_inventory_cbsa_value_observe,Realtor inventory CBSA metric value (observe),listings,housing,cbsa,monthly,varies,neutral,FALSE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_REALTOR_INVENTORY_CBSA,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_108,realtor_inventory_cbsa_observe,Fact Realtor Inventory Cbsa (Transform.Dev),listings,housing,cbsa,weekly,varies,neutral,FALSE,vendor_stated,VALUE,TRANSFORM.DEV.fact_realtor_inventory_cbsa,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
