price_tier_id,price_tier_code,price_tier_label,price_min,price_max,sort_order,is_active,geo_level_code
PRC_001,sub_100k,Sub $100K,0,100000,1,TRUE,
PRC_002,100k_150k,$100–150K,100000,150000,2,TRUE,
PRC_003,150k_200k,$150–200K,150000,200000,3,TRUE,
PRC_004,200k_250k,$200–250K,200000,250000,4,TRUE,
PRC_005,250k_350k,$250–350K,250000,350000,5,TRUE,
PRC_006,350k_500k,$350–500K,350000,500000,6,TRUE,
PRC_007,500k_750k,$500–750K,500000,750000,7,TRUE,
PRC_008,750k_1m,$750K–1M,750000,1000000,8,TRUE,
PRC_009,1m_plus,$1M+,1000000,,9,TRUE,
