metric_id,metric_code,metric_label,definition,concept_code,vendor_code,is_derived,source_vendor_codes,unit,direction,geo_level_code,frequency_code,is_active,data_status_code,snowflake_column,table_path,metric_category_code,is_opco_metric
CENSUS_MAN_00BD526CE2,census_acs_demographics_county_hh_head_25_44_abs_change_acs5_10yr,Census Hh Head 25 44 Abs Change Acs5 10Yr,Census Hh Head 25 44 Abs Change Acs5 10Yr (hh head 25 44 abs change acs5 10yr).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,HH_HEAD_25_44_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_0123B29FC1,census_census_acs5_h3_r8_snapshot_hh_150k_plus_share,Census Hh 150K Plus Share,Census Hh 150K Plus Share (hh 150k plus share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,HH_150K_PLUS_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_040847D78D,census_acs_demographics_county_owner_occupied_pct_change_acs5_5yr,Census Owner Occupied Pct Change Acs5 5Yr,Census Owner Occupied Pct Change Acs5 5Yr (owner occupied pct change acs5 5yr).,occupancy,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,OWNER_OCCUPIED_PCT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_041DF13877,census_acs_demographics_county_emp_total_16plus,Census Emp Total 16Plus,Census Emp Total 16Plus (emp total 16plus).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,EMP_TOTAL_16PLUS,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_060C31559D,census_acs_demographics_county_pct_family_hh_ppt_change_acs5_10yr,Census Pct Family Hh Ppt Change Acs5 10Yr,Census Pct Family Hh Ppt Change Acs5 10Yr (pct family hh ppt change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_FAMILY_HH_PPT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_0988036B0D,census_acs_demographics_county_hh_head_25_44,Census Hh Head 25 44,Census Hh Head 25 44 (hh head 25 44).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,HH_HEAD_25_44,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_0A216BA633,census_census_acs5_h3_r8_snapshot_nonfamily_hh_share,Census Nonfamily Hh Share,Census Nonfamily Hh Share (nonfamily hh share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,NONFAMILY_HH_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_0B99A5A2C1,census_acs_demographics_county_median_gross_rent,Census Median Gross Rent,Census Median Gross Rent (median gross rent).,rent,census,FALSE,Census,usd,neutral,county,monthly,TRUE,under_review,MEDIAN_GROSS_RENT,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_0C885C6DF8,census_acs_demographics_county_persons_per_household,Census Persons Per Household,Census Persons Per Household (persons per household).,population,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,PERSONS_PER_HOUSEHOLD,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_0E043EFA3F,census_acs_demographics_county_housing_units_total,Census Housing Units Total,Census Housing Units Total (housing units total).,pipeline,census,FALSE,Census,count,neutral,county,monthly,TRUE,under_review,HOUSING_UNITS_TOTAL,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_106860922F,census_acs_demographics_county_pct_drove_alone_ppt_change_acs5_10yr,Census Pct Drove Alone Ppt Change Acs5 10Yr,Census Pct Drove Alone Ppt Change Acs5 10Yr (pct drove alone ppt change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_DROVE_ALONE_PPT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_129407D99C,census_acs_demographics_county_owner_share_ppt_change_acs5_10yr,Census Owner Share Ppt Change Acs5 10Yr,Census Owner Share Ppt Change Acs5 10Yr (owner share ppt change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,OWNER_SHARE_PPT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_129AEBF17A,census_census_acs5_h3_r8_snapshot_single_person_hh_share,Census Single Person Hh Share,Census Single Person Hh Share (single person hh share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,SINGLE_PERSON_HH_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_13647F643B,census_acs_demographics_county_family_households_abs_change_acs5_10yr,Census Family Households Abs Change Acs5 10Yr,Census Family Households Abs Change Acs5 10Yr (family households abs change acs5 10yr).,population,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,FAMILY_HOUSEHOLDS_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
