bridge_product_type_metric_id,product_type_code,metric_code,is_required,sort_order,is_active
391,duplex_quadplex,bls_laus_unemployed_persons_county,0,17,1
193,duplex_quadplex,bls_laus_employment_persons_county,0,18,1
202,duplex_quadplex,bls_laus_labor_force_persons_county,0,19,1
211,duplex_quadplex,lehd_lodes_od_bg_jobs_total,0,20,1
220,duplex_quadplex,bls_qcew_county_naics_employment,0,21,1
229,duplex_quadplex,bls_qcew_county_naics_total_wages,0,22,1
238,duplex_quadplex,bls_qcew_county_naics_establishments,0,23,1
256,duplex_quadplex,bls_qcew_county_naics_avg_weekly_wage,0,24,1
247,duplex_quadplex,bls_qcew_allocated_county_soc_estimated_employment,0,25,1
337,duplex_quadplex,cybersyn_irs_migration_by_characteristic_value,0,26,1
346,duplex_quadplex,cybersyn_irs_od_migration_value,0,27,1
355,duplex_quadplex,cybersyn_irs_migration_by_characteristic_value_cbsa,0,28,1
364,duplex_quadplex,cybersyn_irs_od_migration_value_cbsa,0,29,1
175,duplex_quadplex,cybersyn_fhfa_mortgage_performance_value_county,0,30,1
184,duplex_quadplex,cybersyn_fhfa_mortgage_performance_value_cbsa,0,31,1
400,duplex_quadplex,pretium_epoch_gwa_crosswalk_exposure_weight,0,32,1
409,duplex_quadplex,dol_onet_soc_gwa_activity_risk_score,0,33,1
418,duplex_quadplex,dol_onet_soc_work_context_friction_index,0,34,1
427,duplex_quadplex,dol_onet_soc_ai_friction_adjusted_exposure,0,35,1
436,duplex_quadplex,county_ai_replacement_risk_combined_score,0,36,1
166,duplex_quadplex,freddie_mac_housing_timeseries_value,0,37,1
265,duplex_quadplex,progress_fund_spine_property_number,0,38,1
274,duplex_quadplex,progress_fund_spine_cap_rate,0,39,1
283,duplex_quadplex,progress_fund_spine_gross_yield,0,40,1
292,duplex_quadplex,progress_fund_spine_home_condition_score,0,41,1
301,duplex_quadplex,progress_fund_spine_yardi_tier,0,42,1
310,duplex_quadplex,progress_fund_spine_yardi_property_status,0,43,1
112,duplex_quadplex,progress_acquisition_uw_acquisition_purchase_price,0,44,1
121,duplex_quadplex,progress_acquisition_uw_acquisition_cap_rate,0,45,1
130,duplex_quadplex,progress_acquisition_uw_acquisition_net_yield,0,46,1
139,duplex_quadplex,progress_acquisition_uw_fdd_purchase_price,0,47,1
148,duplex_quadplex,progress_acquisition_uw_fdd_closing_date,0,48,1
157,duplex_quadplex,progress_acquisition_uw_fdd_stabilized,0,49,1
616,duplex_quadplex,zillow_rental_forecasts_observe,0,50,0
634,duplex_quadplex,markerr_rent_listings_county_cnt_multi_family,0,51,0
526,duplex_quadplex,markerr_rent_sfr_observe,0,52,0
499,duplex_quadplex,costar_mf_market_cbsa_monthly_observe,0,53,0
445,duplex_quadplex,rent_median_psf_zip_monthly_planned,0,54,0
562,duplex_quadplex,yardi_matrix_submarketmatch_zipzcta_bh_observe,0,55,0
643,duplex_quadplex,cherre_vacant_h3_r8_mf_vacant_parcels,0,56,0
598,duplex_quadplex,zillow_market_heat_index_observe,0,57,0
553,duplex_quadplex,realtor_inventory_cbsa_observe,0,58,0
607,duplex_quadplex,zillow_new_construction_observe,0,59,0
463,duplex_quadplex,supply_pipeline_under_construction_units_county_planned,0,60,0
589,duplex_quadplex,zillow_home_values_forecasts_observe,0,61,0
580,duplex_quadplex,zillow_home_values_observe,0,62,0
625,duplex_quadplex,zillow_sales_observe,0,63,0
508,duplex_quadplex,fhfa_house_price_observe,0,64,0
517,duplex_quadplex,fhfa_uniform_appraisal_observe,0,65,0
472,duplex_quadplex,cherre_recorder_sale_transactions_county_planned,0,66,0
535,duplex_quadplex,oxford_amreg_quarterly_observe,0,67,0
544,duplex_quadplex,oxford_wdmarco_quarterly_observe,0,68,0
571,duplex_quadplex,zillow_affordability_observe,0,69,0
454,duplex_quadplex,cybersyn_acs5_median_household_income_county_planned,0,70,0
481,duplex_quadplex,census_pep_cbsa_annual_observe,0,71,0
490,duplex_quadplex,census_pep_county_annual_observe,0,72,0
41,mf_garden,zillow_rentals_metric_value,0,1,1
84,mf_garden,markerr_rent_property_cbsa_avg_rent_effective,0,2,1
85,mf_garden,markerr_rent_property_cbsa_avg_rent_asking,0,3,1
86,mf_garden,yardi_matrix_marketperformance_bh_datavalue,0,4,1
87,mf_garden,costar_scenarios_market_effective_rent_per_unit,0,5,1
88,mf_garden,costar_scenarios_market_asking_rent_per_unit,0,6,1
32,mf_garden,cybersyn_hud_timeseries_value,0,7,1
23,mf_garden,cybersyn_hud_timeseries_value_cbsa,1,8,1
50,mf_garden,zillow_days_on_market_and_price_cuts_metric_value,0,9,1
59,mf_garden,zillow_for_sale_listings_metric_value,0,10,1
374,mf_garden,bps_permits_measure_value,0,11,1
5,mf_garden,cybersyn_fhfa_house_price_timeseries_value,1,12,1
14,mf_garden,cybersyn_fhfa_house_price_timeseries_value_cbsa,1,13,1
320,mf_garden,cybersyn_fhfa_uniform_appraisal_value_county,0,14,1
329,mf_garden,cybersyn_fhfa_uniform_appraisal_value_cbsa,0,15,1
383,mf_garden,bls_laus_unemployment_rate_county,0,16,1
392,mf_garden,bls_laus_unemployed_persons_county,0,17,1
194,mf_garden,bls_laus_employment_persons_county,0,18,1
203,mf_garden,bls_laus_labor_force_persons_county,0,19,1
212,mf_garden,lehd_lodes_od_bg_jobs_total,0,20,1
221,mf_garden,bls_qcew_county_naics_employment,0,21,1
230,mf_garden,bls_qcew_county_naics_total_wages,0,22,1
239,mf_garden,bls_qcew_county_naics_establishments,0,23,1
257,mf_garden,bls_qcew_county_naics_avg_weekly_wage,0,24,1
248,mf_garden,bls_qcew_allocated_county_soc_estimated_employment,0,25,1
338,mf_garden,cybersyn_irs_migration_by_characteristic_value,0,26,1
347,mf_garden,cybersyn_irs_od_migration_value,0,27,1
356,mf_garden,cybersyn_irs_migration_by_characteristic_value_cbsa,0,28,1
365,mf_garden,cybersyn_irs_od_migration_value_cbsa,0,29,1
176,mf_garden,cybersyn_fhfa_mortgage_performance_value_county,0,30,1
185,mf_garden,cybersyn_fhfa_mortgage_performance_value_cbsa,0,31,1
401,mf_garden,pretium_epoch_gwa_crosswalk_exposure_weight,0,32,1
410,mf_garden,dol_onet_soc_gwa_activity_risk_score,0,33,1
419,mf_garden,dol_onet_soc_work_context_friction_index,0,34,1
428,mf_garden,dol_onet_soc_ai_friction_adjusted_exposure,0,35,1
437,mf_garden,county_ai_replacement_risk_combined_score,0,36,1
167,mf_garden,freddie_mac_housing_timeseries_value,0,37,1
266,mf_garden,progress_fund_spine_property_number,0,38,1
275,mf_garden,progress_fund_spine_cap_rate,0,39,1
284,mf_garden,progress_fund_spine_gross_yield,0,40,1
293,mf_garden,progress_fund_spine_home_condition_score,0,41,1
302,mf_garden,progress_fund_spine_yardi_tier,0,42,1
311,mf_garden,progress_fund_spine_yardi_property_status,0,43,1
113,mf_garden,progress_acquisition_uw_acquisition_purchase_price,0,44,1
122,mf_garden,progress_acquisition_uw_acquisition_cap_rate,0,45,1
131,mf_garden,progress_acquisition_uw_acquisition_net_yield,0,46,1
140,mf_garden,progress_acquisition_uw_fdd_purchase_price,0,47,1
149,mf_garden,progress_acquisition_uw_fdd_closing_date,0,48,1
158,mf_garden,progress_acquisition_uw_fdd_stabilized,0,49,1
617,mf_garden,zillow_rental_forecasts_observe,0,50,0
635,mf_garden,markerr_rent_listings_county_cnt_multi_family,0,51,0
527,mf_garden,markerr_rent_sfr_observe,0,52,0
500,mf_garden,costar_mf_market_cbsa_monthly_observe,0,53,0
446,mf_garden,rent_median_psf_zip_monthly_planned,0,54,0
563,mf_garden,yardi_matrix_submarketmatch_zipzcta_bh_observe,0,55,0
644,mf_garden,cherre_vacant_h3_r8_mf_vacant_parcels,0,56,0
599,mf_garden,zillow_market_heat_index_observe,0,57,0
554,mf_garden,realtor_inventory_cbsa_observe,0,58,0
608,mf_garden,zillow_new_construction_observe,0,59,0
464,mf_garden,supply_pipeline_under_construction_units_county_planned,0,60,0
590,mf_garden,zillow_home_values_forecasts_observe,0,61,0
